policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0132.xml,authzforce,1,0.9582,1.0,0.556,10,1.013,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.05,15.63,12.82
authzforce_0133.xml,authzforce,1,0.9582,1.0,0.556,10,0.692,0.8493,1.0,0.6309,10,0.041,0.8287,1.0,0.6289,15,0.044,15.63,12.82
authzforce_0134.xml,authzforce,1,0.9582,1.0,0.556,10,0.693,0.8493,1.0,0.6309,10,0.039,0.8287,1.0,0.6289,15,0.044,15.63,12.82
authzforce_0135.xml,authzforce,1,0.9582,1.0,0.556,10,0.675,0.8493,1.0,0.6309,10,0.036,0.8287,1.0,0.6289,15,0.049,15.63,12.82
authzforce_0136.xml,authzforce,1,0.9582,1.0,0.556,10,0.661,0.8493,1.0,0.6309,10,0.04,0.8287,1.0,0.6289,15,0.047,15.63,12.82
authzforce_0137.xml,authzforce,1,0.9582,1.0,0.556,10,0.672,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.061,15.63,12.82
authzforce_0138.xml,authzforce,1,0.9582,1.0,0.556,10,0.705,0.8493,1.0,0.6309,10,0.038,0.8287,1.0,0.6289,15,0.058,15.63,12.82
authzforce_0139.xml,authzforce,1,0.9582,1.0,0.556,10,0.714,0.8493,1.0,0.6309,10,0.027,0.8287,1.0,0.6289,15,0.048,15.63,12.82
authzforce_0140.xml,authzforce,1,0.9582,1.0,0.556,10,0.852,0.8493,1.0,0.6309,10,0.06,0.8287,1.0,0.6289,15,0.1,15.63,12.82
authzforce_0141.xml,authzforce,1,0.9582,1.0,0.556,10,0.756,0.8493,1.0,0.6309,10,0.037,0.8287,1.0,0.6289,15,0.061,15.63,12.82
authzforce_0142.xml,authzforce,1,0.9582,1.0,0.556,10,0.65,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.045,15.63,12.82
authzforce_0143.xml,authzforce,1,0.9582,1.0,0.556,10,0.82,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.065,15.63,12.82
authzforce_0144.xml,authzforce,1,0.9582,1.0,0.556,10,0.8,0.8493,1.0,0.6309,10,0.029,0.8287,1.0,0.6289,15,0.047,15.63,12.82
authzforce_0145.xml,authzforce,1,0.9582,1.0,0.556,10,0.615,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.043,15.63,12.82
authzforce_0146.xml,authzforce,1,0.9582,1.0,0.556,10,0.655,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.044,15.63,12.82
authzforce_0147.xml,authzforce,1,0.9582,1.0,0.556,10,0.876,0.8493,1.0,0.6309,10,0.055,0.8287,1.0,0.6289,15,0.055,15.63,12.82
authzforce_0148.xml,authzforce,1,0.9582,1.0,0.556,10,1.398,0.8493,1.0,0.6309,10,0.135,0.8287,1.0,0.6289,15,0.165,15.63,12.82
authzforce_0149.xml,authzforce,1,0.9582,1.0,0.556,10,0.682,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.052,15.63,12.82
authzforce_0150.xml,authzforce,1,0.9582,1.0,0.556,10,0.654,0.8493,1.0,0.6309,10,0.031,0.8287,1.0,0.6289,15,0.06,15.63,12.82
authzforce_0151.xml,authzforce,1,0.9582,1.0,0.556,10,0.851,0.8493,1.0,0.6309,10,0.037,0.8287,1.0,0.6289,15,0.056,15.63,12.82
